时间,车辆编号,往行1/复行0,站点号,前门0/后门1,上车人数,下车人数
2018/11/1 6:30,4933,0,8,0,5,0
2018/11/1 6:30,4911,1,4,1,0,0
2018/11/1 6:30,4933,0,8,1,0,2
2018/11/1 6:30,4924,0,1,0,4,0
2018/11/1 6:30,4924,0,1,1,0,0
2018/11/1 6:30,4930,0,1,0,0,1
2018/11/1 6:30,4918,1,14,0,0,0
2018/11/1 6:30,4918,1,14,1,0,0
2018/11/1 6:30,4930,0,1,1,0,0
2018/11/1 6:30,4910,1,22,0,0,0
2018/11/1 6:30,4916,1,17,0,0,0
2018/11/1 6:30,4921,1,20,0,0,0
2018/11/1 6:30,4913,0,1,0,22,0
2018/11/1 6:30,4916,1,17,1,0,0
2018/11/1 6:30,4929,0,6,0,1,0
2018/11/1 6:30,4929,0,6,1,0,0
2018/11/1 6:30,4921,1,20,1,0,0
2018/11/1 6:30,4913,0,1,1,0,0
2018/11/1 6:30,4924,0,1,0,0,0
2018/11/1 6:30,4920,1,15,0,1,0
2018/11/1 6:30,4920,1,15,1,0,3
2018/11/1 6:30,4919,1,10,0,4,2
2018/11/1 6:30,4919,1,10,1,0,6
2018/11/1 6:30,4928,1,7,0,14,1
2018/11/1 6:30,4928,1,7,1,0,1
2018/11/1 6:31,4911,1,5,0,0,0
2018/11/1 6:31,4921,1,21,0,0,0
2018/11/1 6:31,4921,1,21,1,0,0
2018/11/1 6:31,4911,1,5,1,0,1
2018/11/1 6:31,4918,1,15,0,0,0
2018/11/1 6:31,4913,0,2,0,2,0
2018/11/1 6:31,4913,0,2,1,0,0
2018/11/1 6:31,4910,1,23,0,0,0
2018/11/1 6:31,4916,1,18,0,1,0
2018/11/1 6:31,4910,1,23,1,0,14
2018/11/1 6:31,4916,1,18,1,0,2
2018/11/1 6:31,4911,1,6,0,0,0
2018/11/1 6:31,4911,1,6,1,0,0
2018/11/1 6:31,4933,0,9,0,6,0
2018/11/1 6:31,4933,0,9,1,0,1
2018/11/1 6:32,4929,0,7,0,2,0
2018/11/1 6:32,4929,0,7,1,0,0
2018/11/1 6:32,4919,1,11,0,10,0
2018/11/1 6:32,4919,1,11,1,0,1
2018/11/1 6:32,4920,1,16,0,0,0
2018/11/1 6:32,4920,1,16,1,0,7
2018/11/1 6:32,4924,0,2,0,7,1
2018/11/1 6:32,4924,0,2,1,0,0
2018/11/1 6:33,4928,1,8,0,3,1
2018/11/1 6:33,4928,1,8,1,0,0
2018/11/1 6:33,4919,1,12,0,0,0
2018/11/1 6:33,4913,0,3,0,3,0
2018/11/1 6:33,4918,1,16,0,0,0
2018/11/1 6:33,4913,0,3,1,0,1
2018/11/1 6:33,4918,1,16,1,0,4
2018/11/1 6:33,4914,1,1,0,25,1
2018/11/1 6:33,4916,1,19,0,0,0
2018/11/1 6:33,4914,1,1,1,0,0
2018/11/1 6:33,4916,1,19,1,0,0
2018/11/1 6:33,4921,1,22,1,0,5
2018/11/1 6:34,4928,1,9,0,1,1
2018/11/1 6:34,4928,1,9,1,0,1
2018/11/1 6:34,4933,0,10,0,4,1
2018/11/1 6:34,4910,0,1,0,0,0
2018/11/1 6:34,4910,0,1,1,0,4
2018/11/1 6:34,4933,0,10,1,0,2
2018/11/1 6:34,4929,0,8,0,6,1
2018/11/1 6:34,4929,0,8,1,0,0
2018/11/1 6:34,4928,1,10,0,0,0
2018/11/1 6:34,4928,1,10,1,0,1
2018/11/1 6:34,4919,1,13,0,2,0
2018/11/1 6:34,4914,1,2,0,0,0
2018/11/1 6:34,4914,1,2,1,0,0
2018/11/1 6:35,4913,0,4,0,8,1
2018/11/1 6:35,4913,0,4,1,0,1
2018/11/1 6:35,4916,1,20,0,0,0
2018/11/1 6:35,4916,1,20,1,0,1
2018/11/1 6:35,4920,1,17,0,0,0
2018/11/1 6:35,4933,0,11,0,4,0
2018/11/1 6:35,4933,0,11,1,0,3
2018/11/1 6:35,4924,0,3,0,4,0
2018/11/1 6:35,4924,0,3,1,0,0
2018/11/1 6:35,4911,1,7,0,14,0
2018/11/1 6:35,4918,1,17,0,2,0
2018/11/1 6:35,4911,1,7,1,0,3
2018/11/1 6:35,4918,1,17,1,0,2
2018/11/1 6:35,4916,1,21,0,0,0
2018/11/1 6:35,4916,1,21,1,0,0
2018/11/1 6:35,4913,0,5,0,0,0
2018/11/1 6:35,4913,0,5,1,0,1
2018/11/1 6:36,4919,1,14,0,3,1
2018/11/1 6:36,4919,1,14,1,0,6
2018/11/1 6:36,4921,1,23,0,0,1
2018/11/1 6:36,4921,1,23,1,0,0
2018/11/1 6:36,4914,1,3,0,12,0
2018/11/1 6:36,4914,1,3,1,0,0
2018/11/1 6:36,4929,0,9,0,4,0
2018/11/1 6:36,4929,0,9,1,0,0
2018/11/1 6:36,4920,1,18,0,1,0
2018/11/1 6:36,4920,1,18,1,0,3
2018/11/1 6:36,4933,0,12,0,8,0
2018/11/1 6:36,4933,0,12,1,1,1
2018/11/1 6:37,4913,0,6,0,3,0
2018/11/1 6:37,4913,0,6,1,0,0
2018/11/1 6:37,4919,1,15,0,4,0
2018/11/1 6:37,4919,1,15,1,0,1
2018/11/1 6:37,4928,1,11,0,6,0
2018/11/1 6:37,4928,1,11,1,0,2
2018/11/1 6:37,4924,0,4,0,5,0
2018/11/1 6:37,4924,0,4,1,0,1
2018/11/1 6:37,4918,1,18,0,0,0
2018/11/1 6:37,4930,0,1,0,25,0
2018/11/1 6:37,4911,1,8,0,3,1
2018/11/1 6:37,4911,1,8,1,0,1
2018/11/1 6:37,4918,1,18,1,0,3
2018/11/1 6:37,4930,0,1,1,0,0
2018/11/1 6:37,4928,1,12,0,0,0
2018/11/1 6:38,4933,0,13,0,2,1
2018/11/1 6:38,4933,0,13,1,1,1
2018/11/1 6:38,4914,1,4,0,6,1
2018/11/1 6:38,4914,1,4,1,0,7
2018/11/1 6:38,4920,1,19,0,0,0
2018/11/1 6:38,4913,0,7,0,3,0
2018/11/1 6:38,4913,0,7,1,0,4
2018/11/1 6:38,4916,1,22,0,0,0
2018/11/1 6:38,4916,1,22,1,0,11
2018/11/1 6:38,4911,1,9,0,1,0
2018/11/1 6:38,4911,1,9,1,0,0
2018/11/1 6:38,4924,0,5,0,0,0
2018/11/1 6:39,4929,0,10,0,8,0
2018/11/1 6:39,4924,0,5,1,0,0
2018/11/1 6:39,4929,0,10,1,0,0
2018/11/1 6:39,4914,1,5,0,0,0
2018/11/1 6:39,4914,1,5,1,0,0
2018/11/1 6:39,4911,1,10,0,3,1
2018/11/1 6:39,4933,0,14,0,2,0
2018/11/1 6:39,4933,0,14,1,0,6
2018/11/1 6:39,4919,1,16,0,3,1
2018/11/1 6:39,4919,1,16,1,0,10
2018/11/1 6:39,4929,0,11,0,0,0
2018/11/1 6:39,4929,0,11,1,0,0
2018/11/1 6:39,4918,1,19,0,1,1
2018/11/1 6:40,4928,1,13,0,6,0
2018/11/1 6:40,4914,1,6,0,1,0
2018/11/1 6:40,4914,1,6,1,0,6
2018/11/1 6:40,4918,1,19,1,0,0
2018/11/1 6:40,4920,1,20,0,0,0
2018/11/1 6:40,4916,1,23,0,0,0
2018/11/1 6:40,4930,0,2,0,8,1
2018/11/1 6:40,4916,1,23,1,0,3
2018/11/1 6:40,4924,0,6,0,2,1
2018/11/1 6:40,4913,0,8,0,4,0
2018/11/1 6:40,4924,0,6,1,0,0
2018/11/1 6:40,4911,1,11,0,0,0
2018/11/1 6:40,4911,1,11,1,0,3
2018/11/1 6:40,4934,1,1,0,37,1
2018/11/1 6:40,4934,1,1,1,0,0
2018/11/1 6:40,4933,0,15,0,4,0
2018/11/1 6:40,4933,0,15,1,0,14
2018/11/1 6:41,4920,1,21,0,0,0
2018/11/1 6:41,4920,1,21,1,0,14
2018/11/1 6:41,4929,0,12,0,4,1
2018/11/1 6:41,4929,0,12,1,0,0
2018/11/1 6:41,4928,1,14,0,5,1
2018/11/1 6:41,4928,1,14,1,0,6
2018/11/1 6:41,4918,1,20,0,0,0
2018/11/1 6:41,4918,1,20,1,0,1
2018/11/1 6:42,4926,1,1,0,0,0
2018/11/1 6:42,4918,1,21,0,0,0
2018/11/1 6:42,4918,1,21,1,0,1
2018/11/1 6:42,4911,1,12,0,2,0
2018/11/1 6:42,4934,1,2,0,1,0
2018/11/1 6:42,4919,1,17,0,1,0
2018/11/1 6:42,4919,1,17,1,0,4
2018/11/1 6:42,4924,0,7,0,5,0
2018/11/1 6:42,4924,0,7,1,0,0
2018/11/1 6:42,4929,0,13,0,3,1
2018/11/1 6:42,4929,0,13,1,0,0
2018/11/1 6:42,4914,1,7,0,12,0
2018/11/1 6:42,4914,1,7,1,0,7
2018/11/1 6:42,4933,0,16,0,1,0
2018/11/1 6:42,4928,1,15,0,4,0
2018/11/1 6:42,4933,0,16,1,0,4
2018/11/1 6:42,4930,0,3,0,6,0
2018/11/1 6:43,4923,1,1,0,0,0
2018/11/1 6:43,4923,1,1,1,0,0
2018/11/1 6:43,4920,1,13,0,2,2
2018/11/1 6:43,4913,0,9,0,3,0
2018/11/1 6:43,4929,0,14,0,1,0
2018/11/1 6:43,4913,0,9,1,0,1
2018/11/1 6:43,4929,0,14,1,0,0
2018/11/1 6:43,4920,1,13,1,0,3
2018/11/1 6:43,4919,1,18,0,1,1
2018/11/1 6:43,4919,1,18,1,0,2
2018/11/1 6:43,4933,0,17,0,2,0
2018/11/1 6:43,4933,0,17,1,1,4
2018/11/1 6:44,4910,0,1,0,17,0
2018/11/1 6:44,4934,1,3,0,26,1
2018/11/1 6:44,4910,0,1,1,0,0
2018/11/1 6:44,4934,1,3,1,0,0
2018/11/1 6:44,4918,1,22,0,1,0
2018/11/1 6:44,4918,1,22,1,1,5
2018/11/1 6:44,4930,0,4,0,8,0
2018/11/1 6:44,4930,0,4,1,0,3
2018/11/1 6:44,4914,1,8,0,2,0
2018/11/1 6:44,4914,1,8,1,0,3
2018/11/1 6:44,4929,0,15,0,5,1
2018/11/1 6:44,4924,0,8,0,4,1
2018/11/1 6:44,4924,0,8,1,0,1
2018/11/1 6:44,4928,1,16,0,1,1
2018/11/1 6:44,4909,1,1,1,1,97
2018/11/1 6:44,4911,1,13,0,11,0
2018/11/1 6:45,4911,1,13,1,0,1
2018/11/1 6:45,4921,0,1,0,24,2
2018/11/1 6:45,4921,0,1,1,0,2
2018/11/1 6:45,4909,1,1,0,95,8
2018/11/1 6:45,4937,1,1,0,0,0
2018/11/1 6:45,4909,1,1,1,0,0
2018/11/1 6:45,4937,1,1,1,2,100
2018/11/1 6:45,4919,1,19,0,0,1
2018/11/1 6:45,4923,1,2,0,20,0
2018/11/1 6:45,4919,1,19,1,0,7
2018/11/1 6:45,4910,0,2,0,4,0
2018/11/1 6:45,4910,0,2,1,0,0
2018/11/1 6:45,4914,1,9,0,5,1
2018/11/1 6:45,4914,1,9,1,0,0
2018/11/1 6:45,4920,1,14,0,0,0
2018/11/1 6:46,4911,1,14,0,0,0
2018/11/1 6:46,4911,1,14,1,0,0
2018/11/1 6:46,4913,0,10,0,0,0
2018/11/1 6:46,4930,0,5,0,0,0
2018/11/1 6:46,4913,0,10,1,0,0
2018/11/1 6:46,4930,0,5,1,0,0
2018/11/1 6:46,4933,0,18,0,9,0
2018/11/1 6:46,4918,1,23,0,0,0
2018/11/1 6:46,4918,1,23,1,0,2
2018/11/1 6:46,4914,1,10,0,4,0
2018/11/1 6:46,4914,1,10,1,0,4
2018/11/1 6:46,4923,1,3,0,11,0
2018/11/1 6:46,4923,1,3,1,0,0
2018/11/1 6:47,4913,0,11,0,0,0
2018/11/1 6:47,4913,0,11,1,0,1
2018/11/1 6:47,4919,1,20,0,0,0
2018/11/1 6:47,4911,1,15,0,3,0
2018/11/1 6:47,4919,1,20,1,0,3
2018/11/1 6:47,4911,1,15,1,0,0
2018/11/1 6:47,4937,1,2,0,0,0
2018/11/1 6:47,4937,1,2,1,0,0
2018/11/1 6:47,4921,0,2,0,5,0
2018/11/1 6:47,4921,0,2,1,0,0
2018/11/1 6:47,4928,1,17,0,2,0
2018/11/1 6:47,4929,0,16,0,3,0
2018/11/1 6:47,4928,1,17,1,0,16
2018/11/1 6:47,4929,0,16,1,0,0
2018/11/1 6:47,4930,0,6,0,3,1
2018/11/1 6:47,4910,0,3,0,1,0
2018/11/1 6:47,4910,0,3,1,0,0
2018/11/1 6:47,4930,0,6,1,0,0
2018/11/1 6:47,4919,1,21,0,0,0
2018/11/1 6:47,4919,1,21,1,0,0
2018/11/1 6:47,4933,0,19,0,3,0
2018/11/1 6:47,4933,0,19,1,0,12
2018/11/1 6:47,4934,1,4,0,9,0
2018/11/1 6:47,4934,1,4,1,0,0
2018/11/1 6:47,4914,1,11,0,0,0
2018/11/1 6:47,4914,1,11,1,1,2
2018/11/1 6:48,4929,0,17,0,4,0
2018/11/1 6:48,4929,0,17,1,0,0
