"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 18, 2019","26,765.5","26,868.0","27,013.0","26,754.0","-","-0.44%"
"Oct 17, 2019","26,885.0","26,634.0","26,988.0","26,598.0","159.09K","0.91%"
"Oct 16, 2019","26,642.0","26,479.0","26,739.0","26,383.0","203.74K","0.59%"
"Oct 15, 2019","26,485.0","26,532.0","26,636.0","26,380.0","146.94K","-0.18%"
"Oct 14, 2019","26,532.0","26,420.0","26,677.0","26,373.0","187.75K","0.46%"
"Oct 11, 2019","26,410.0","25,785.0","26,446.0","25,751.0","188.44K","2.33%"
"Oct 10, 2019","25,809.0","25,681.0","25,843.0","25,507.0","184.48K","0.57%"
"Oct 09, 2019","25,662.0","25,870.0","25,882.0","25,621.0","174.45K","-0.79%"
"Oct 08, 2019","25,867.0","25,800.0","26,202.0","25,623.0","208.40K","0.11%"
"Oct 07, 2019","25,839.5","25,839.5","25,839.5","25,839.5","-","0.20%"
"Oct 04, 2019","25,787.0","26,138.0","26,175.0","25,566.0","205.25K","-1.36%"
"Oct 03, 2019","26,143.0","25,944.0","26,220.0","25,673.0","170.65K","0.75%"
"Oct 02, 2019","25,948.0","26,066.0","26,087.0","25,750.0","140.09K","-0.15%"
"Oct 01, 2019","25,987.5","25,987.5","25,987.5","25,987.5","-","-0.21%"
"Sep 30, 2019","26,042.0","25,967.0","26,158.0","25,656.0","169.18K","0.36%"
"Sep 27, 2019","25,949.0","26,033.0","26,074.0","25,811.0","27.00K","-0.28%"
"Sep 26, 2019","26,022.0","25,898.0","26,107.0","25,850.0","149.26K","0.45%"
"Sep 25, 2019","25,906.0","26,298.0","26,318.0","25,900.0","252.14K","-1.48%"
"Sep 24, 2019","26,294.0","26,139.0","26,431.0","26,121.0","206.81K","0.62%"
"Sep 23, 2019","26,133.0","26,433.0","26,524.0","26,119.0","178.22K","-1.11%"
"Sep 20, 2019","26,425.0","26,497.0","26,621.0","26,406.0","141.48K","-0.24%"
"Sep 19, 2019","26,489.0","26,720.0","26,831.0","26,345.0","183.39K","-0.91%"
"Sep 18, 2019","26,731.0","26,747.0","26,910.0","26,703.0","127.48K","-0.06%"
"Sep 17, 2019","26,747.0","27,050.0","27,092.0","26,676.0","150.79K","-1.13%"
"Sep 16, 2019","27,054.0","27,307.0","27,394.0","26,959.0","140.05K","-0.93%"
"Sep 13, 2019","27,309.0","27,074.0","27,387.0","26,980.0","129.08K","0.86%"
"Sep 12, 2019","27,076.0","27,080.0","27,335.0","26,940.0","165.63K","-0.12%"
"Sep 11, 2019","27,109.0","26,641.0","27,158.0","26,641.0","213.13K","1.81%"
"Sep 10, 2019","26,628.0","26,640.0","26,890.0","26,604.0","146.28K","-0.08%"
"Sep 09, 2019","26,650.0","26,591.0","26,795.0","26,506.0","153.84K","0.25%"
"Sep 06, 2019","26,584.0","26,712.0","26,799.0","26,489.0","161.34K","0.55%"
"Sep 05, 2019","26,438.0","26,476.0","26,683.0","26,222.0","60.07K","-0.14%"
"Sep 04, 2019","26,476.0","25,477.0","26,634.0","25,392.0","298.55K","3.96%"
"Sep 03, 2019","25,468.0","25,495.0","25,663.0","25,313.0","175.85K","-0.15%"
"Sep 02, 2019","25,505.0","25,629.0","25,709.0","25,391.0","165.67K","-0.41%"
"Aug 30, 2019","25,610.0","25,660.0","25,935.0","25,412.0","221.21K","0.28%"
"Aug 29, 2019","25,539.0","25,614.0","25,681.0","25,377.0","37.77K","-0.35%"
"Aug 28, 2019","25,629.0","25,655.0","25,864.0","25,556.0","169.40K","-0.09%"
"Aug 27, 2019","25,651.0","25,700.0","25,878.0","25,533.0","236.86K","-0.04%"
"Aug 26, 2019","25,661.0","26,102.0","26,122.0","25,156.0","315.42K","-1.73%"
"Aug 23, 2019","26,113.0","25,950.0","26,187.0","25,810.0","169.22K","0.61%"
"Aug 22, 2019","25,955.0","26,238.0","26,305.0","25,903.0","190.74K","-1.05%"
"Aug 21, 2019","26,231.0","26,200.0","26,271.0","26,014.0","167.53K","0.06%"
"Aug 20, 2019","26,215.0","26,198.0","26,380.0","26,051.0","185.70K","0.09%"
"Aug 19, 2019","26,191.0","25,686.0","26,280.0","25,535.0","189.39K","2.18%"
"Aug 16, 2019","25,632.0","25,387.0","25,733.0","25,105.0","250.90K","0.80%"
"Aug 15, 2019","25,428.0","25,161.0","25,475.0","24,791.0","260.66K","0.86%"
"Aug 14, 2019","25,210.0","25,190.0","25,905.0","25,053.0","243.53K","-0.00%"
"Aug 13, 2019","25,211.0","25,548.0","25,548.0","25,163.0","219.38K","-1.37%"
"Aug 12, 2019","25,560.0","25,894.0","26,011.0","25,550.0","181.96K","-1.28%"
"Aug 09, 2019","25,891.0","26,038.0","26,206.0","25,820.0","175.14K","-0.49%"
"Aug 08, 2019","26,019.0","25,946.0","26,246.0","25,595.0","216.73K","0.29%"
"Aug 07, 2019","25,943.0","25,973.0","26,085.0","25,634.0","234.83K","-0.11%"
"Aug 06, 2019","25,971.0","26,023.0","26,118.0","25,219.0","321.99K","-0.24%"
"Aug 05, 2019","26,033.0","26,803.0","26,880.0","25,999.0","265.53K","-2.93%"
"Aug 02, 2019","26,818.0","27,458.0","27,660.0","26,688.0","215.40K","-2.28%"
"Aug 01, 2019","27,445.0","27,525.0","27,685.0","27,401.0","168.54K","-1.12%"
"Jul 31, 2019","27,757.0","28,109.0","28,109.0","27,632.0","171.84K","-1.57%"
"Jul 30, 2019","28,201.0","28,128.0","28,253.0","28,062.0","27.19K","0.23%"
"Jul 29, 2019","28,135.0","28,388.0","28,427.0","27,937.0","200.78K","-0.88%"
"Jul 26, 2019","28,385.0","28,582.0","28,663.0","28,311.0","228.93K","-0.70%"
"Jul 25, 2019","28,586.0","28,524.0","28,652.0","28,490.0","174.30K","0.18%"
"Jul 24, 2019","28,536.0","28,476.0","28,774.0","28,441.0","170.54K","0.27%"
"Jul 23, 2019","28,459.0","28,362.0","28,489.0","28,290.0","144.45K","0.30%"
"Jul 22, 2019","28,373.0","28,814.0","28,814.0","28,281.0","216.57K","-1.55%"
"Jul 19, 2019","28,821.0","28,451.0","28,841.0","28,393.0","159.69K","1.39%"
"Jul 18, 2019","28,427.0","28,616.0","28,638.0","28,311.0","174.23K","-0.66%"
"Jul 17, 2019","28,616.0","28,621.0","28,657.0","28,358.0","160.08K","-0.02%"
"Jul 16, 2019","28,622.0","28,530.0","28,661.0","28,474.0","163.81K","0.35%"
