"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 28, 2019","28,505.0","28,553.0","28,579.0","28,367.0","154.44K","-0.05%"
"Jun 27, 2019","28,519.0","28,209.0","28,526.0","28,209.0","38.68K","1.17%"
"Jun 26, 2019","28,190.0","28,156.0","28,275.0","27,989.0","194.18K","0.11%"
"Jun 25, 2019","28,158.0","28,414.0","28,489.0","28,079.0","254.82K","-0.93%"
"Jun 24, 2019","28,422.0","28,437.0","28,605.0","28,314.0","214.58K","0.00%"
"Jun 21, 2019","28,422.0","28,519.0","28,688.0","28,298.0","220.45K","-0.33%"
"Jun 20, 2019","28,515.0","28,146.0","28,519.0","28,080.0","209.03K","1.31%"
"Jun 19, 2019","28,146.0","27,459.0","28,197.0","27,447.0","237.29K","2.57%"
"Jun 18, 2019","27,442.0","27,157.0","27,519.0","27,096.0","207.01K","1.09%"
"Jun 17, 2019","27,147.0","27,048.0","27,446.0","26,907.0","196.32K","0.38%"
"Jun 14, 2019","27,043.0","27,170.0","27,243.0","26,952.0","180.69K","-0.41%"
"Jun 13, 2019","27,153.0","27,120.0","27,199.0","26,702.0","251.59K","0.11%"
"Jun 12, 2019","27,122.0","27,688.0","27,770.0","27,106.0","196.29K","-2.04%"
"Jun 11, 2019","27,688.0","27,458.0","27,756.0","27,436.0","186.31K","0.80%"
"Jun 10, 2019","27,469.0","26,844.0","27,516.0","26,773.0","196.93K","2.46%"
"Jun 07, 2019","26,809.0","26,809.0","26,809.0","26,809.0","-","-0.15%"
"Jun 06, 2019","26,848.0","26,815.0","26,879.0","26,671.0","180.82K","0.14%"
"Jun 05, 2019","26,811.0","26,629.0","27,004.0","26,586.0","216.25K","0.76%"
"Jun 04, 2019","26,608.0","26,747.0","26,886.0","26,505.0","218.54K","-0.39%"
"Jun 03, 2019","26,711.0","26,727.0","26,828.0","26,578.0","209.68K","-0.02%"
"May 31, 2019","26,717.0","26,929.0","27,033.0","26,703.0","204.38K","-1.41%"
"May 30, 2019","27,100.0","27,221.0","27,319.0","27,042.0","36.02K","-0.47%"
"May 29, 2019","27,228.0","27,316.0","27,448.0","27,139.0","203.15K","-0.35%"
"May 28, 2019","27,323.0","27,236.0","27,449.0","27,178.0","227.75K","0.36%"
"May 27, 2019","27,226.0","27,314.0","27,353.0","27,068.0","232.07K","-0.30%"
"May 24, 2019","27,307.0","27,227.0","27,438.0","27,121.0","203.52K","0.29%"
"May 23, 2019","27,227.0","27,615.0","27,673.0","27,120.0","232.14K","-1.38%"
"May 22, 2019","27,608.0","27,539.0","27,718.0","27,495.0","201.36K","0.20%"
"May 21, 2019","27,553.0","27,620.0","27,828.0","27,333.0","228.49K","-0.25%"
"May 20, 2019","27,622.0","27,715.0","27,850.0","27,524.0","230.01K","-0.39%"
"May 17, 2019","27,730.0","28,090.0","28,317.0","27,673.0","243.90K","-1.27%"
"May 16, 2019","28,087.0","28,068.0","28,160.0","27,791.0","241.76K","0.09%"
"May 15, 2019","28,063.0","27,880.0","28,169.0","27,790.0","235.59K","0.75%"
"May 14, 2019","27,854.0","28,312.0","28,374.0","27,602.0","255.37K","-1.20%"
"May 13, 2019","28,191.0","28,191.0","28,191.0","28,191.0","-","-0.48%"
"May 10, 2019","28,327.0","28,057.0","28,588.0","27,754.0","346.05K","1.08%"
"May 09, 2019","28,024.0","28,750.0","28,798.0","28,005.0","320.03K","-2.67%"
"May 08, 2019","28,793.0","29,086.0","29,086.0","28,619.0","249.09K","-1.08%"
"May 07, 2019","29,106.0","28,939.0","29,242.0","28,909.0","250.17K","0.47%"
"May 06, 2019","28,970.0","29,862.0","30,047.0","28,687.0","260.54K","-2.99%"
"May 03, 2019","29,863.0","29,672.0","29,875.0","29,412.0","173.04K","0.69%"
"May 02, 2019","29,658.0","29,468.0","29,737.0","29,391.0","146.55K","0.65%"
"Apr 30, 2019","29,467.0","29,667.0","29,681.0","29,368.0","207.19K","-1.18%"
"Apr 29, 2019","29,818.0","29,570.0","29,835.0","29,547.0","42.04K","0.81%"
"Apr 26, 2019","29,578.0","29,540.0","29,685.0","29,412.0","229.28K","0.21%"
"Apr 25, 2019","29,516.0","29,772.0","29,853.0","29,501.0","283.97K","-0.82%"
"Apr 24, 2019","29,760.0","29,939.0","30,129.0","29,650.0","301.52K","-0.63%"
"Apr 23, 2019","29,950.0","29,954.0","30,109.0","29,742.0","236.61K","0.03%"
"Apr 18, 2019","29,940.0","30,146.0","30,235.0","29,882.0","209.13K","-0.72%"
"Apr 17, 2019","30,157.0","30,131.0","30,205.0","30,008.0","210.54K","0.11%"
"Apr 16, 2019","30,124.0","29,828.0","30,189.0","29,684.0","224.25K","1.00%"
"Apr 15, 2019","29,825.0","29,978.0","30,336.0","29,767.0","247.24K","-0.42%"
"Apr 12, 2019","29,950.0","29,821.0","29,991.0","29,706.0","196.89K","0.43%"
"Apr 11, 2019","29,821.0","30,129.0","30,225.0","29,799.0","225.47K","-1.00%"
"Apr 10, 2019","30,121.0","30,216.0","30,272.0","29,944.0","196.08K","-0.27%"
"Apr 09, 2019","30,204.0","30,118.0","30,295.0","30,071.0","184.23K","0.26%"
"Apr 08, 2019","30,127.0","29,993.0","30,220.0","29,965.0","197.90K","0.41%"
"Apr 04, 2019","30,003.0","29,953.0","30,131.0","29,810.0","204.05K","0.13%"
"Apr 03, 2019","29,963.0","29,737.0","30,059.0","29,644.0","205.08K","0.75%"
"Apr 02, 2019","29,739.0","29,580.0","29,749.0","29,565.0","173.46K","0.52%"
"Apr 01, 2019","29,586.0","29,072.0","29,681.0","29,034.0","182.74K","1.75%"
"Mar 29, 2019","29,077.0","28,797.0","29,181.0","28,735.0","198.93K","1.25%"
"Mar 28, 2019","28,719.0","28,689.0","28,745.0","28,532.0","38.96K","0.12%"
"Mar 27, 2019","28,685.0","28,543.0","28,789.0","28,531.0","209.00K","0.51%"
"Mar 26, 2019","28,540.0","28,539.0","28,755.0","28,410.0","264.19K","0.07%"
"Mar 25, 2019","28,519.0","29,065.0","29,065.0","28,422.0","260.41K","-1.95%"
"Mar 22, 2019","29,085.0","29,100.0","29,270.0","28,838.0","248.19K","-0.11%"
"Mar 21, 2019","29,117.0","29,339.0","29,477.0","29,071.0","234.00K","-0.71%"
"Mar 20, 2019","29,326.0","29,500.0","29,630.0","29,261.0","219.38K","-0.57%"
"Mar 19, 2019","29,494.0","29,381.0","29,541.0","29,335.0","208.92K","0.37%"
"Mar 18, 2019","29,385.0","29,050.0","29,444.0","29,039.0","220.22K","1.17%"
